entity,period,account_code,account_name,balance,bs_pl,status,account_category,sub_category,criticality,review_frequency,department,review_status,review_flag,report_type,analysis_required,review_checkpoint,reconciliation_type,variance_pct
ABEX,2022-06,11200100,Sundry Debtors-Domestic,351943614.55,BS,Assets,Trade Receivables,Trade Receivables_Unsecured_6 months or less,Medium,Quarterly,O2C,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11210900,Sundry Debtors-Group Company,1601587.57,BS,Assets,Trade Receivables,Trade Receivables_Unsecured_6 months or less,Medium,Quarterly,O2C,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11212000,Debtors-Foreign,0.0,BS,Assets,Trade Receivables,Trade Receivables_Unsecured_6 months or less,Low,Half Yearly,O2C,reviewed,Green,BU Score card,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11220100,DEBTORS RECLASSIFICATION ADJUSTMENT ACCOUNT,-180340.89,BS,Assets,Trade Receivables,Trade Receivables_Unsecured_6 months or less,Medium,Quarterly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11220210,Creditors-With Debit Balance,0.0,BS,Assets,Other Current Assets,Adv. Recover in Kind,Medium,Quarterly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11290310,Unamortized Ancillary Finance Cost Non Current,0.0,BS,Assets,Other Non Current Assets,Unamortized Ancillary Finance Cost_LT,Low,Half Yearly,TRM,reviewed,Green,Working,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11290800,Debtors-Trading Partner Reclassification,0.0,BS,Assets,Trade Receivables,Trade Receivables_Unsecured_6 months or less,Low,Half Yearly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11290810,Debtors-Trading Partner Reclassification Adj,0.0,BS,Assets,Trade Receivables,Trade Receivables_Unsecured_6 months or less,Low,Half Yearly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11290900,Sundry Debtors-Power,797798835.25,BS,Assets,Trade Receivables,Trade Receivables_Unsecured_6 months or less,Medium,Quarterly,O2C,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11300650,Loans to Staff,956961.0,BS,Assets,Loans,Loan to Employee,Medium,Quarterly,B2P,flagged,Red,Working,True,Appropriate remarks from BU HR not available,Reconciliation GL,Not Applicable
ABEX,2022-06,11301200,Advance-Salary,0.0,BS,Assets,Other Current Assets,Advance to Employee,Critical,Monthly,R2R,reviewed,Green,Confirmation,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11301750,Clearing-Employee Foreign Travel Advance,38321.08,BS,Assets,Trade Payables,Trade Payables,Medium,Quarterly,B2P,flagged,Red,Reconciliation,True,"Amount o/s for > 30 days, no reconciliation available",Non Reconciliation GL,Not Applicable
ABEX,2022-06,11302000,Advance against Purchase of Goods,0.0,BS,Assets,Other Current Assets,Adv. Recover in Kind,Medium,Quarterly,B2P,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11302050,AV. TO CUST-F ADJ. A,0.0,BS,Assets,Other Current Assets,Adv. Recover in Kind,Medium,Quarterly,R2R,flagged,Red,Working,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11302100,Advance against Expenses,102028131.75,BS,Assets,Other Current Assets,Adv. Recover in Kind,Medium,Quarterly,B2P,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11302150,Advance-Mobilization,0.0,BS,Assets,Other Non Current Assets,Capital Advances,Medium,Quarterly,B2P,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11302200,Advance against Capital Expenditure,231846.0,BS,Assets,Other Non Current Assets,Capital Advances,Medium,Quarterly,B2P,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11303000,Deposit with Vendors-Others,2798911399.87,BS,Assets,Other Financial Assets,"Deposit to Vendor, Customer & Others",Medium,Quarterly,B2P,flagged,Red,BU Score card,True,End dates of deposits not available,Reconciliation GL,Not Applicable
ABEX,2022-06,11303100,Deposit with Government Authorities,242888.0,BS,Assets,Other Financial Assets,"Deposit to Vendor, Customer & Others",Medium,Quarterly,B2P,flagged,Red,BU Score card,True,End dates of deposits not available,Reconciliation GL,Not Applicable
ABEX,2022-06,11303300,Deposit with Vendors-Rent,399150.0,BS,Assets,Other Financial Assets,"Deposit to Vendor, Customer & Others",Medium,Quarterly,B2P,flagged,Red,BU Score card,True,End dates of deposits not available,Reconciliation GL,Not Applicable
ABEX,2022-06,11304100,Prepaid Expenses,41361383.84,BS,Assets,Other Current Assets,Prepaid Expenses,Medium,Quarterly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11304110,Prepaid Expenses-TRM,0.0,BS,Assets,Other Current Assets,Prepaid Expenses,Medium,Quarterly,TRM,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11304120,Prepaid Expenses Non Current,0.0,BS,Assets,Other Non Current Assets,Prepaid expenses_NC,Medium,Quarterly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11304200,Prepaid Insurance,2061057.86,BS,Assets,Other Current Assets,Prepaid Expenses,Medium,Quarterly,TRM,flagged,Red,Working,True,Amount not tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11304270,Prepaid Leasehold Rent-Land,,BS,Assets,Other Current Assets,Prepaid Expenses,Medium,Quarterly,R2R,flagged,Red,Working,True,Amount not tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11305100,"Deposit to Debtor, Creditor & Other Non Crnt",1500000000.0,BS,Assets,Other Non Current Assets,Unsecured Deposits - Non Current Portion,Low,Half Yearly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11305150,"Deposit to Debtor, Creditor & Other Non Crnt Adj",0.0,BS,Assets,Other Financial Assets,"Deposit to Vendor, Customer & Others",Low,Half Yearly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11305250,Advance Recoverable in Cash or Kind Non Crnt Adj,9976079.0,BS,Assets,Other Current Assets,Adv. Recover in Kind,Low,Half Yearly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11314440,Receivable-TDS (FY 2016-17),845962.0,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C / TRM,reviewed,Green,Reconciliation,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11314450,Receivable-TDS (FY 2017-18),1474080.82,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C / TRM,reviewed,Green,Reconciliation,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11314470,Receivable-TDS (FY 2019-20),422082.66,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C / TRM,flagged,Red,Reconciliation,True,Updated 26AS reconciliation not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11314480,Receivable-TDS (FY 2020-21),4239536.7,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C / TRM,flagged,Red,Reconciliation,True,Updated 26AS reconciliation not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11315300,Balance with Govt Authorities Non Current,0.0,BS,Assets,Other Non Current Assets,Bal. with Govt Authorities_LT,Medium,Quarterly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11315600,CGST Receivable-Refund,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11315610,SGST Receivable-Refund,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11315620,IGST Receivable-Refund,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11315660,TRM-IGST Receivable,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11316100,Advance for Land,52550998.0,BS,Assets,Other Non Current Assets,Capital Advances,Medium,Quarterly,B2P,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11316200,Staff Imprest,917.8,BS,Assets,Other Current Assets,Advance to Employee,Medium,Quarterly,B2P,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11316250,Advance-Staff Relocation,0.0,BS,Assets,Other Current Assets,Advance to Employee,Medium,Quarterly,B2P,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11316410,GRATUITY FUND-LIC,0.0,BS,Assets,Short Term Provisions,Provision for Employee Benefits,Critical,Monthly,R2R,flagged,Red,Actuarial report / working,True,Balance confirmation not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11316500,Accrued Revenue,0.0,BS,Assets,Other Current Financial Assets,Unbilled Receivables,Critical,Monthly,R2R,reviewed,Green,Working,True,Amount tallied with corporate cost allocation file,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11316910,TRM-ICD-Non Group-Short Term,0.0,BS,Assets,Loans,Loans to Others Unsecured,Medium,Quarterly,TRM,flagged,Red,Working,True,Agreement not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11316930,TRM-LOANS AND ADVANCES GROUP-Long Term,71432596174.32,BS,Assets,Loans - Long Term,Loan to Related parties_LT,Medium,Quarterly,TRM,flagged,Red,Working,True,Agreement not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11316940,TRM-ICD-Non Group-Long Term,0.0,BS,Assets,Loans to Others Unsecured,Loan to Related parties_LT,Critical,Monthly,TRM,reviewed,Green,Confirmation,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11316970,Receivable-Forward Cover,0.0,BS,Assets,Other Current Financial Assets,Forward Cover Receivable (Net),Critical,Monthly,TRM,reviewed,Green,Confirmation,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11318200,Interest Accrued and Due Receivable,243175334.0,BS,Assets,Other Current Financial Assets,Interest accrued but not due (Interest Receivable),Medium,Quarterly,TRM,flagged,Red,Working,True,TRM calculations not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11318510,Receivable-TCS (FY 2020-21)-0.1%,5147844.52,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C,flagged,Red,Reconciliation,True,Updated 26AS reconciliation not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11319000,Receivable-Other Miscellaneous,57108777.7,BS,Assets,Other Current Financial Assets,Other Current Assets,Critical,Monthly,R2R,reviewed,Green,Working,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11370300,BPC-Advance against Capital Expenditure,0.0,BS,Assets,Other Non Current Assets,Capital Advances,Critical,Monthly,R2R,reviewed,Green,Working,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11370940,Derivative Assets,0.0,BS,Assets,Other Current Financial Assets,MTM on Derivative Assets,Critical,Monthly,TRM,reviewed,Green,Confirmation,True,Amount tallied with workings,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371040,Derivative Assets Non Current,0.0,BS,Assets,Other Non Current Financial Assets,Dervtves Asset-NC,Critical,Monthly,TRM,reviewed,Green,Working,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371190,Receivable-TDS (FY 2021-22),4781888.44,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C / TRM,flagged,Red,Reconciliation,True,Updated 26AS reconciliation not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371200,Clearing-GST Receivable,-18000.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371208,CGST Receivable-Rajasthan,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371209,CGST Receivable-Uttar Pradesh,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371224,CGST Receivable-Gujarat,894.65,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371225,CGST Receivable-Daman & Diu,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Working,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371226,CGST Reversal-180Days,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371227,CGST Receivable-Maharashtra,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371229,CGST Receivable-Karnataka,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371308,SGST Receivable-Rajasthan,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371309,SGST Receivable-Uttar Pradesh,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371324,SGST Receivable-Gujarat,894.53,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371325,SGST Receivable-Daman & Diu,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Working,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371326,SGST Reversal-180Days,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371327,SGST Receivable-Maharashtra,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371329,SGST Receivable-Karnataka,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371405,IGST Receivable-Uttarakhand,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Working,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371408,IGST Receivable-Rajasthan,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371409,IGST Receivable-Uttar Pradesh,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371419,IGST Receivable-West Bengal,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371421,IGST Rcvbl-Odisha,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,flagged,Red,Working,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371423,IGST Rcvbl-MP,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,flagged,Red,Working,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371424,IGST Receivable-Gujarat,-2363026.18,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371425,IGST Receivable-Daman & Diu,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Working,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371426,IGST Reversal-180Days,0.19,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371427,IGST Receivable-Maharashtra,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,False,No Balance,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371428,IGST Receivable-Andhra Pradesh,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371429,IGST Receivable-Karnataka,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,reviewed,Green,Reconciliation,True,Amount tallied with GST receivable reco,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371433,IGST Receivable-Tamil Nadu,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371839,Clearing-GST Receivable-Axis Bank,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371841,Clearing-GST Receivable-Bank of Baroda,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Working,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371842,Clearing-GST Receivable-Bank of India,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371854,Clearing-GST Receivable-HDFC Bank,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371855,Clearing-GST Receivable-ICICI Bank,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371859,Clearing-GST Receivable-Indusind Bank,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Working,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371867,Clearing-GST Receivable-RBL,,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Working,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371868,Clearing-GST Receivable-State Bank of India,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371874,Clearing-GST Receivable Union,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11371876,Clearing-GST Receivable-Yes Bank,0.0,BS,Assets,Other Current Assets,Balances with Government Authorities,Critical,Monthly,IDT / TRM,flagged,Red,Reconciliation,True,Working not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11381444,Advance Against LC-Capex,,BS,Assets,Other Non Current Assets,Capital Advances,Medium,Quarterly,B2P,flagged,Red,BU Score card,True,Remarks from BU is pending,Reconciliation GL,Not Applicable
ABEX,2022-06,11381450,Recvbl-TCS (21-22),,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C,flagged,Red,Reconciliation,True,Updated 26AS reconciliation not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11381470,Receivable-TDS 194Q-Sales of Goods,5192357.0,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C,flagged,Red,Reconciliation,True,Updated 26AS reconciliation not available,Reconciliation GL,Not Applicable
ABEX,2022-06,11381920,Rcvbl-TDS (22-23),220748165.8,BS,Assets,Other Non Current Assets,Advance Income tax_LT,Medium,Quarterly,O2C / TRM,flagged,Red,Reconciliation,True,Updated 26AS reconciliation not available,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510340,Bnk of India 203520110000313 Main,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,True,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510341,Bnk of India 203520110000313 In Payment,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,False,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510342,Bnk of India 203520110000313 Out Payment,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,True,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510343,Bnk of India 203520110000313 Misc Dr,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,False,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510344,Bnk of India 203520110000313 Misc Cr,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,False,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510660,ICICI Bank 002405028013 Main,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,False,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510661,ICICI Bank 002405028013 In Payment,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,False,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510662,ICICI Bank 002405028013 Out Payment,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,False,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510663,ICICI Bank 002405028013 Misc Dr,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,False,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11510664,ICICI Bank 002405028013 Misc Cr,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,False,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11512930,Axis Bank 920030066117267 Main,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,True,Amount matched with BRS,Non Reconciliation GL,Not Applicable
ABEX,2022-06,11513030,Ratnkar Bnk 609000834147 Main,,BS,Assets,Cash and Cash Equivalent,Current Account,Critical,Monthly,BRS,reviewed,Green,Reconciliation,True,Amount matched with BRS,Non Reconciliation GL,Not Applicable
